,№,Наименование,Адрес,ИНН,Реестр.№,Включение в реестр
66,67,«Частное учреждение в Санкт-Петербурге по административной поддержке реализации программ и проектов Совета Министров Северных Стран»,"191186, город Санкт-Петербург, улица Малая Конюшенная, дом 1-3, литер А, помещение 3Н",7814041926,678150004,20.01.2015
67,68,Межрегиональная общественная организация Информационно-просветительский центр «Мемориал»,"620100, Свердловская обл., г. Екатеринбург, ул. Восточная, д. 160 А, пом. 17",6612015936,266150001,16.01.2015
68,69,Фонд поддержки свободы прессы,"111250, Москва, ул. Красноказарменная, д. 9, кв. 141",7714013516,677140024,30.12.2014
69,70,Санкт-Петербургская общественная правозащитная организация «Гражданский контроль»,"191040, Санкт-Петербург, Лиговский пр., д.87, офис 300",7812010144,378140025,30.12.2014
70,71,Межрегиональная общественная правозащитная организация «Человек и Закон»,"424003, Республика Марий Эл, г. Йошкар-Ола, ул. Зарубина, д. 25",1212010002,212140026,30.12.2014
71,72,Региональная общественная организация «Общественная комиссия по сохранению наследия академика Сахарова»,"103064, г. Москва, ул. Земляной Вал, д. 48Б, стр. 1, кв. 62",7712016137,377140021,25.12.2014
72,73,Частное учреждение «Информационное агентство МЕМО.РУ»,"127051, г. Москва, Малый Каретный пер., д. 12",7714040243,677140015,20.11.2014
73,74,Некоммерческое партнерство «Институт региональной прессы»,"191040, г. Санкт-Петербург, Лиговский пр., д. 73, оф. 314",7814030726,678140016,20.11.2014
74,75,Фонд «Институт развития свободы информации»,"191040, Санкт-Петербург, Лиговский проспект, д. 87, помещение 23Н, литер А",7814011412,678140011,28.08.2014
75,76,Межрегиональная общественная организация Правозащитный Центр «Мемориал»,"127051, Москва, Малый Каретный пер., д.12",7712017606,277140009,21.07.2014
76,77,Калининградская региональная общественная организация «Экозащита!-Женсовет»,"г. Калининград, ул. Черниговская,33/37",3912010643,339140007,21.07.2014
77,78,Фонд содействия защите прав и свобод граждан «Общественный вердикт»,"127051, г. Москва, пер. Малый Каретный, д. 12",7714012928,677140008,21.07.2014
78,79,Евразийская антимонопольная ассоциация,"125040, г. Москва, ул. Скаковая, д. 17, стр. 2, оф. 2613",7714062339,677130001,27.06.2013
